City,Team,Name,Abbreviation
Anaheim,Ducks,Anaheim,ana
Arizona,Coyotes,Arizona,ari
Boston,Bruins,Boston,bos
Buffalo,Sabres,Buffalo,buf
Calgary,Flames,Calgary,cgy
Carolina,Hurricanes,Carolina,car
Chicago,Blackhawks,Chicago,chi
Colorado,Avalanche,Colorado,col
Columbus,Blue Jackets,Columbus,cbj
Dallas,Stars,Dallas,dal
Detroit,Red Wings,Detroit,det
Edmonton,Oilers,Edmonton,edm
Florida,Panthers,Florida,fla
Los Angeles,Kings,LA Kings,la
Minnesota,Wild,Minnesota,min
Montreal,Canadiens,Montreal,mtl
Nashville,Predators,Nashville,nsh
New Jersey,Devils,New Jersey,nj
New York,Islanders,NYI,nyi
New York,Rangers,NYR,nyr
Ottawa,Senators,Ottawa,ott
Philadelphia,Flyers,Philadelphia,phi
Pittsburgh,Penguins,Pittsburgh,pit
San Jose,Sharks,San Jose,sj
Seattle,Kraken,Seattle,sea
St. Louis,Blues,St. Louis,stl
Tampa Bay,Lightning,Tampa Bay,tb
Toronto,Maple Leafs,Toronto,tor
Vancouver,Canucks,Vancouver,van
Vegas,Golden Knights,Vegas,vgk
Washington,Capitals,Washington,wsh
Winnipeg,Jets,Winnipeg,wnp
